source_no,name_ko,name_en,cas_no,physical_state,flash_point
155,황산,SULFURIC ACID,7664-93-9,액체,불연성
156,황,SULPHUR,7704-34-9,고체,160℃
157,삼차-도데실 메르캅탄,TERT DODECANETHIOL,25103-58-6,액체,96℃
158,삼차-부틸알콜,TERTIARY BUTYL ALCOHOL,76-65-0,액체,15~23℃
159,퍼클로로에틸렌,TETRACHLOROETHYLENE,127-18-4,액체,비인화성
160,테트라하이드로푸란,TETRAHYDROFURAN,109-99-9,액체,-14.5℃
161,톨루엔,TOLUENE,108-88-3,액체,4℃
162,"톨루엔-2,4/2,6-디이소시아네이트",TOLUENE DIISOCYNATE,26471-62-5,액체,128℃
163,트리클로로에틸렌,TRICHLOROETHYLENE,79-01-6,액체,-
164,트리에탄올아민,TRIETHANOLAMIN,102-71-6,-,179℃
165,도데센,TRI-N-BUTENE,97280-83-6,액체,71℃
166,폴리비닐 아세트산,VINYL ACETATE,9003-20-7,고체,-
167,트리에테르 폴리올 수지,TRIOL POLYETHER POLYOL,9082-00-2,액체,130~221℃
168,염화비닐,VINYL CHLORIDE,75-01-4,기체(액상가스),-78℃
169,"자일렌, 크실렌",XYLENE,1330-20-7,액체,-
