berth_id,wharf_name,berth_no,berth_name,ownership_prefix,length_m,quay_structure,water_depth_m,water_depth_is_range,capacity_value,capacity_unit,capacity_suspect,unload_value,unload_unit,handling_cargo_name,operator_name,address,built_year,built_by,quay_length_raw,water_depth_raw,capacity_raw,unload_raw,port_code,spec_source,concurrent_vessels,port_name,note,name_source,length_basis
SK4부두-3선석,SK4부두,3.0,SK4부두3선석,,,강관돌핀,10.0,False,,DWT,False,24000.0,Bbls,유류,SK에너지(주),울산광역시 남구 용잠동 수역,1978.0,민간,228m(강관돌핀),10m,"1,000DWT / 1척4,000DWT / 2척","24,000Bbls",PORT0000000031,UPA_WEB,,,,UPA_API,WHARF_TOTAL
SK5부두-1선석,SK5부두,1.0,SK5부두1선석,,,강관돌핀,11.0,False,,DWT,False,34000.0,Bbls,유류,SK에너지(주),울산광역시 남구 용잠동 수역,1993.0,민간,798m(강관돌핀),11m,"2,000DWT / 2척4,000DWT / 1척5,000DWT / 1척15,000DWT / 1척","34,000Bbls",PORT0000000032,UPA_WEB,,,,UPA_API,WHARF_TOTAL
SK5부두-2선석,SK5부두,2.0,SK5부두2선석,,,강관돌핀,11.0,False,,DWT,False,34000.0,Bbls,유류,SK에너지(주),울산광역시 남구 용잠동 수역,1993.0,민간,798m(강관돌핀),11m,"2,000DWT / 2척4,000DWT / 1척5,000DWT / 1척15,000DWT / 1척","34,000Bbls",PORT0000000033,UPA_WEB,,,,UPA_API,WHARF_TOTAL
SK5부두-3선석,SK5부두,3.0,SK5부두3선석,,,강관돌핀,11.0,False,,DWT,False,34000.0,Bbls,유류,SK에너지(주),울산광역시 남구 용잠동 수역,1993.0,민간,798m(강관돌핀),11m,"2,000DWT / 2척4,000DWT / 1척5,000DWT / 1척15,000DWT / 1척","34,000Bbls",PORT0000000034,UPA_WEB,,,,UPA_API,WHARF_TOTAL
SK5부두-4선석,SK5부두,4.0,SK5부두4선석,,,강관돌핀,11.0,False,,DWT,False,34000.0,Bbls,유류,SK에너지(주),울산광역시 남구 용잠동 수역,1993.0,민간,798m(강관돌핀),11m,"2,000DWT / 2척4,000DWT / 1척5,000DWT / 1척15,000DWT / 1척","34,000Bbls",PORT0000000035,UPA_WEB,,,,UPA_API,WHARF_TOTAL
SK5부두-5선석,SK5부두,5.0,SK5부두5선석,,,강관돌핀,11.0,False,,DWT,False,34000.0,Bbls,유류,SK에너지(주),울산광역시 남구 용잠동 수역,1993.0,민간,798m(강관돌핀),11m,"2,000DWT / 2척4,000DWT / 1척5,000DWT / 1척15,000DWT / 1척","34,000Bbls",PORT0000000036,UPA_WEB,,,,UPA_API,WHARF_TOTAL
SK6부두,SK6부두,,SK6부두,,347.0,강관돌핀,15.0,False,70000.0,DWT,False,25000.0,Bbls,"유류, 가스 등",SK에너지(주),울산광역시 남구 용잠동 수역,1983.0,민간,347m(강관돌핀),15m,"70,000DWT / 1척","25,000Bbls",PORT0000000037,UPA_WEB,,,,UPA_API,BERTH
SK7부두,SK7부두,,SK7부두,,370.0,강관돌핀,15.0,False,130000.0,DWT,False,25000.0,Bbls,"유류, 케미칼 등",SK에너지(주),울산광역시 남구 용잠동 수역,1990.0,민간,370m(강관돌핀),15m,"130,000DWT / 1척","25,000Bbls",PORT0000000038,UPA_WEB,,,,UPA_API,BERTH
SK8부두,SK8부두,,SK8부두,,400.0,,18.0,False,150000.0,DWT,False,40000.0,Bbls,"원유, 유류 등",SK에너지(주),울산광역시 남구 용잠동 수역,1996.0,민간,400m(강관돌핀,18m,"150,000DWT / 1척","40,000Bbls",PORT0000000039,UPA_WEB,,,,UPA_API,BERTH
UTT부두,UTT부두,,UTT부두,,80.0,돌핀,11.0,False,40000.0,DWT,False,979.0,천 톤,"화학공업생산품,석유정제품 등",태영인더스트리,울산광역시 남구 용잠동 484번지 일원,1983.0,국가,80m(돌핀),11m,"40,000DWT / 1척",979천 톤,PORT0000000040,UPA_WEB,,,,UPA_API,BERTH
