wharf_name,facility_cd,facility_sub_code,port_name,address,berthing_vessel_count,min_water_depth_m,max_water_depth_m,min_capacity_dwt,max_capacity_dwt,min_length_m,max_length_m,total_quay_length_m,name_source,operator_count,spec_spread_flag,built_year,built_by,latitude,longitude,berth_count,depth_floored
OTK1부두,MDW,02,온산항,울산광역시 울주군 온산읍 처용리 수역,2.0,11.0,11.0,20000.0,40000.0,,,391.0,UPA_API,1,True,1991.0,민간,35.46121,129.34735,2,False
OTK2부두,MDW,03,온산항,울산광역시 울주군 온산읍 처용리 수역,2.0,9.0,9.0,10000.0,10000.0,,,275.0,UPA_API,1,False,1991.0,민간,35.46535,129.34571,2,False
S-Oil 1부두,MDS,01,온산항,울산광역시 울주군 온산읍 산암리 수역,2.0,11.0,11.0,20000.0,50000.0,,,280.0,UPA_API,1,True,1980.0,민간,35.44831,129.35495,2,False
S-Oil 2부두,MDS,02,온산항,울산광역시 울주군 온산읍 산암리 수역,3.0,15.5,15.5,5000.0,120000.0,,,340.0,UPA_API,1,True,1991.0,민간,35.44766,129.35845,3,False
S-Oil 3부두,MDS,03,온산항,울산광역시 울주군 온산읍 방도리 수역,2.0,14.0,14.0,10000.0,50000.0,,,280.0,UPA_API,1,True,2009.0,민간,35.45181,129.34888,2,False
S-Oil 4부두,MBD,01,온산항,울산광역시 울주군 온산읍 산암리 150번지 일원,2.0,12.0,12.0,10000.0,30000.0,,,585.0,UPA_API,1,True,2008.0,민간,35.44542,129.35874,3,False
S-Oil부이,MUD,01,온산항,울산광역시 울주군 온산읍 해상,1.0,27.0,27.0,350000.0,350000.0,,,,UPA_API,1,False,1980.0,민간,,,1,False
SK1부두,MDU,01,울산본항,울산광역시 남구 고사동 110번지 일원,1.0,7.5,7.5,5000.0,5000.0,130.0,130.0,260.0,UPA_API,1,False,1996.0,국가,35.5027,129.3632,2,False
SK2부두,,,울산본항,울산광역시 남구 고사동 17-2번지,4.0,7.5,8.0,3000.0,6000.0,150.0,150.0,150.0,UPA_WEB,1,True,1967.0,국가 및 민간,,,5,False
SK2부이,SKV,02,울산본항,울산광역시 남구 용잠동 해상,2.0,27.0,27.0,325000.0,325000.0,,,,UPA_API,1,False,1978.0,민간,,,1,False
SK3부두,MDU,03,울산본항,울산광역시 남구 용잠동 수역,1.0,12.0,12.0,50000.0,50000.0,130.0,130.0,130.0,UPA_API,1,False,1966.0,민간,35.4946,129.3829,1,False
SK3부이,SKV,03,울산본항,울산광역시 남구 용잠동 해상,2.0,27.0,27.0,325000.0,325000.0,,,,UPA_API,1,False,1996.0,민간,,,1,False
SK4부두,MDU,04,울산본항,울산광역시 남구 용잠동 수역,3.0,10.0,10.0,4000.0,10000.0,,,228.0,UPA_API,1,True,1978.0,민간,35.4927,129.3842,3,False
SK5부두,MDU,05,울산본항,울산광역시 남구 용잠동 수역,5.0,7.0,11.0,2000.0,15000.0,,,798.0,UPA_API,1,True,1993.0,민간,35.4892,129.3863,5,True
SK6부두,MDU,06,울산본항,울산광역시 남구 용잠동 수역,1.0,15.0,15.0,70000.0,70000.0,347.0,347.0,347.0,UPA_API,1,False,1983.0,민간,35.4855,129.3907,1,False
SK7부두,MDU,07,울산본항,울산광역시 남구 용잠동 수역,1.0,15.0,15.0,130000.0,130000.0,370.0,370.0,370.0,UPA_API,1,False,1990.0,민간,35.4824,129.3907,1,False
SK8부두,MDU,08,울산본항,울산광역시 남구 용잠동 수역,1.0,18.0,18.0,150000.0,150000.0,400.0,400.0,400.0,UPA_API,1,False,1996.0,민간,35.4791,129.3906,1,False
UTK 신항부두,MBN,19,울산신항,"울산광역시 울주군 온산읍 이진리 265, 266번지",1.0,14.0,14.0,30000.0,30000.0,240.0,240.0,240.0,UPA_API,1,False,2012.0,2012년 / 민간,35.43188,129.37098,1,False
UTK부두,MBR,01,온산항,울산광역시 울주군 온산읍 처용리 수역,2.0,12.0,12.0,8000.0,30000.0,240.0,246.0,287.0,UPA_API,1,True,2009.0,민간,35.4695,129.34191,2,False
UTT부두,MDY,02,울산본항,울산광역시 남구 용잠동 484번지 일원,1.0,11.0,11.0,40000.0,40000.0,80.0,80.0,80.0,UPA_API,1,False,1983.0,국가,35.49906,129.3792,1,False
가스부두,MBL,01,울산본항,울산광역시 남구 용잠동 60-16번지,1.0,7.5,7.5,1000.0,8500.0,,,360.0,UPA_API,1,True,1988.0,국가,35.4859,129.3855,3,False
남화부두,MLU,01,울산본항,울산광역시 남구 용잠동 67번지 일원,2.0,7.0,7.0,3000.0,3000.0,,,150.0,UPA_API,1,False,2005.0,국가,35.4773248,129.3843058,2,False
달포부두,MBK,01,온산항,"울산광역시 울주군 온산읍 산암리 150-7번지, 320번지, 321-1번지",2.0,7.0,7.0,3000.0,3000.0,,,325.0,UPA_API,1,False,2002.0,국가,35.4394,129.35444,2,False
대한유화부두,MWD,01,온산항,울산광역시 울주군 온산읍 처용리 수역,2.0,12.0,12.0,50000.0,80000.0,,,320.0,UPA_API,1,True,1991.0,민간,35.45702,129.34776,2,False
대한통운신항부두,MBN,17,울산신항,울산광역시 울주군 온산읍 이진리 275번지,1.0,14.0,14.0,20000.0,20000.0,210.0,210.0,210.0,UPA_API,1,False,2012.0,민간,35.43582,129.36953,1,False
미포부두,MQP,01,미포항,"울산광역시 동구 방어동 1425-2번지, 서부동 134번지 일원",1.0,9.0,9.0,20000.0,20000.0,210.0,210.0,210.0,UPA_API,1,False,1972.0,민간,35.5245,129.43768,1,False
북신항 액체부두,MBN,31,울산신항,,1.0,15.0,15.0,,,300.0,300.0,300.0,UPA_API,0,False,,,,,1,False
석유공사부이,MUT,01,온산항,울산광역시 울주군 온산읍 해상,1.0,27.0,27.0,325000.0,325000.0,,,,UPA_API,1,False,1995.0,민간,,,1,False
석탄부두,MBT,01,울산본항,울산광역시 남구 여천동 187-10,1.0,12.0,12.0,40000.0,40000.0,270.0,270.0,270.0,UPA_API,1,False,1984.0,국가,35.5253,129.38206,1,False
