port_code,seq,list_name,list_address,list_operator,list_built_year,port_gubun,부두/선석명,소재지,준공년도,준공주체,안벽길이,수심,접안능력,하역능력,운영사,주요취급화물,fetched_at_utc
PORT0000000029,29,SK4부두1선석,울산광역시 남구 용잠동 수역,SK에너지(주),1978,울산본항,SK4부두1선석,울산광역시 남구 용잠동 수역,1978,민간,228m(강관돌핀),10m,"1,000DWT / 1척4,000DWT / 2척","24,000Bbls",SK에너지(주),유류,2026-09-19T13:59:08.119569+00:00
PORT0000000030,30,SK4부두2선석,울산광역시 남구 용잠동 수역,SK에너지(주),1978,울산본항,SK4부두2선석,울산광역시 남구 용잠동 수역,1978,민간,228m(강관돌핀),10m,"1,000DWT / 1척4,000DWT / 2척","24,000Bbls",SK에너지(주),유류,2026-09-19T13:59:08.119569+00:00
PORT0000000031,31,SK4부두3선석,울산광역시 남구 용잠동 수역,SK에너지(주),1978,울산본항,SK4부두3선석,울산광역시 남구 용잠동 수역,1978,민간,228m(강관돌핀),10m,"1,000DWT / 1척4,000DWT / 2척","24,000Bbls",SK에너지(주),유류,2026-09-19T13:59:08.119569+00:00
PORT0000000032,32,SK5부두1선석,울산광역시 남구 용잠동 수역,SK에너지(주),1993,울산본항,SK5부두1선석,울산광역시 남구 용잠동 수역,1993,민간,798m(강관돌핀),11m,"2,000DWT / 2척4,000DWT / 1척5,000DWT / 1척15,000DWT / 1척","34,000Bbls",SK에너지(주),유류,2026-09-19T13:59:08.119569+00:00
PORT0000000033,33,SK5부두2선석,울산광역시 남구 용잠동 수역,SK에너지(주),1993,울산본항,SK5부두2선석,울산광역시 남구 용잠동 수역,1993,민간,798m(강관돌핀),11m,"2,000DWT / 2척4,000DWT / 1척5,000DWT / 1척15,000DWT / 1척","34,000Bbls",SK에너지(주),유류,2026-09-19T13:59:08.119569+00:00
PORT0000000034,34,SK5부두3선석,울산광역시 남구 용잠동 수역,SK에너지(주),1993,울산본항,SK5부두3선석,울산광역시 남구 용잠동 수역,1993,민간,798m(강관돌핀),11m,"2,000DWT / 2척4,000DWT / 1척5,000DWT / 1척15,000DWT / 1척","34,000Bbls",SK에너지(주),유류,2026-09-19T13:59:08.119569+00:00
PORT0000000035,35,SK5부두4선석,울산광역시 남구 용잠동 수역,SK에너지(주),1993,울산본항,SK5부두4선석,울산광역시 남구 용잠동 수역,1993,민간,798m(강관돌핀),11m,"2,000DWT / 2척4,000DWT / 1척5,000DWT / 1척15,000DWT / 1척","34,000Bbls",SK에너지(주),유류,2026-09-19T13:59:08.119569+00:00
PORT0000000036,36,SK5부두5선석,울산광역시 남구 용잠동 수역,SK에너지(주),1993,울산본항,SK5부두5선석,울산광역시 남구 용잠동 수역,1993,민간,798m(강관돌핀),11m,"2,000DWT / 2척4,000DWT / 1척5,000DWT / 1척15,000DWT / 1척","34,000Bbls",SK에너지(주),유류,2026-09-19T13:59:08.119569+00:00
PORT0000000037,37,SK6부두,울산광역시 남구 용잠동 수역,SK에너지(주),1983,울산본항,SK6부두,울산광역시 남구 용잠동 수역,1983,민간,347m(강관돌핀),15m,"70,000DWT / 1척","25,000Bbls",SK에너지(주),"유류, 가스 등",2026-09-19T13:59:08.119569+00:00
PORT0000000038,38,SK7부두,울산광역시 남구 용잠동 수역,SK에너지(주),1990,울산본항,SK7부두,울산광역시 남구 용잠동 수역,1990,민간,370m(강관돌핀),15m,"130,000DWT / 1척","25,000Bbls",SK에너지(주),"유류, 케미칼 등",2026-09-19T13:59:08.119569+00:00
PORT0000000039,39,SK8부두,울산광역시 남구 용잠동 수역,SK에너지(주),1996,울산본항,SK8부두,울산광역시 남구 용잠동 수역,1996,민간,400m(강관돌핀,18m,"150,000DWT / 1척","40,000Bbls",SK에너지(주),"원유, 유류 등",2026-09-19T13:59:08.119569+00:00
PORT0000000040,40,UTT부두,울산광역시 남구 용잠동 484번지 일원,태영인더스트리,1983,울산본항,UTT부두,울산광역시 남구 용잠동 484번지 일원,1983,국가,80m(돌핀),11m,"40,000DWT / 1척",979천 톤,태영인더스트리,"화학공업생산품,석유정제품 등",2026-09-19T13:59:08.119569+00:00
PORT0000000041,41,가스부두1선석,울산광역시 남구 용잠동 60-16번지,SK가스(주),1988,울산본항,가스부두1선석,울산광역시 남구 용잠동 60-16번지,1988,국가,360m(중력식),7.5m,"1,000DWT / 1척",,SK가스(주),가스 및 연료 등,2026-09-19T13:59:08.119569+00:00
PORT0000000042,42,가스부두2선석,울산광역시 남구 용잠동 60-16번지,SK가스(주),1988,울산본항,가스부두2선석,울산광역시 남구 용잠동 60-16번지,1988,국가,360m(중력식),7.5m,"5,000DWT / 1척",,SK가스(주),가스 및 연료 등,2026-09-19T13:59:08.119569+00:00
PORT0000000043,43,가스부두3선석,울산광역시 남구 용잠동 60-16번지,SK가스(주),1988,울산본항,가스부두3선석,울산광역시 남구 용잠동 60-16번지,1988,국가,360m(중력식),7.5m,"8,000DWT / 1척",,SK가스(주),가스 및 연료 등,2026-09-19T13:59:08.119569+00:00
PORT0000000044,44,남화부두1선석,울산광역시 남구 용잠동 67번지 일원,울산항만공사,2005,울산본항,남화부두1선석,울산광역시 남구 용잠동 67번지 일원,2005,국가,150m(중력식),7m,"3,000DWT / 2척",,울산항만공사,해양 배출폐기물 처리,2026-09-19T13:59:08.119569+00:00
PORT0000000045,45,남화부두2선석,울산광역시 남구 용잠동 67번지 일원,울산항만공사,2005,울산본항,남화부두2선석,울산광역시 남구 용잠동 67번지 일원,2005,국가,150m(중력식),7m,"3,000DWT / 2척",,울산항만공사,해양 배출폐기물 처리,2026-09-19T13:59:08.119569+00:00
